Salary,Assists,AtBat,CAtBat,CHits,CHmRun,CRBI,CRuns,CWalks,Errors,Hits,HmRun,PutOuts,RBI,Runs,Walks,Years,Division.E,Division.W,League.A,League.N,NewLeague.A,NewLeague.N
650,30,288,2815,698,55,325,315,189,10,65,8,259,36,30,27,9,1,0,0,1,1,0
155,39,315,630,151,24,94,68,55,13,76,13,498,60,35,25,3,1,0,0,1,0,1
172,6,540,540,135,30,88,82,55,14,135,30,157,88,82,55,1,0,1,1,0,1,0
215,111,574,985,260,53,173,148,95,11,152,31,1253,101,91,64,3,0,1,0,1,0,1
750,439,566,6100,1583,131,693,743,300,10,154,22,316,84,76,43,14,0,1,1,0,1,0
250,369,394,1089,267,3,71,94,76,16,86,1,203,28,38,36,4,1,0,0,1,0,1
815,9,526,2648,715,77,342,352,289,9,146,13,303,70,71,84,6,0,1,0,1,0,1
90,2,185,524,125,7,37,58,47,2,40,4,97,11,23,18,3,1,0,0,1,0,1
140,450,549,549,149,7,47,73,42,17,149,7,255,47,73,42,1,0,1,0,1,0,1
250,8,663,1447,404,57,222,210,68,6,200,29,241,121,108,32,4,1,0,1,0,1,0
350,372,528,1716,403,12,146,211,155,17,122,1,209,45,67,51,4,0,1,1,0,1,0
700,0,490,3400,1000,113,491,445,301,0,148,14,0,78,64,49,13,1,0,1,0,0,1
305,30,254,999,236,21,117,108,118,4,68,2,359,26,28,22,6,1,0,1,0,1,0
1237.5,20,589,2325,634,128,376,371,238,3,170,40,368,108,107,69,6,1,0,1,0,1,0
75,19,165,196,44,2,10,18,18,2,39,2,332,9,13,16,3,0,1,1,0,0,1
535,487,408,3573,866,59,365,429,410,19,94,4,282,36,42,66,9,0,1,0,1,0,1
137,32,258,638,170,17,75,80,36,8,60,8,358,33,28,18,3,0,1,1,0,1,0
750,475,523,3368,895,39,284,377,296,19,135,8,367,44,52,52,9,0,1,0,1,0,1
180,25,217,694,160,32,76,86,32,1,46,7,307,19,32,9,4,1,0,1,0,1,0
1925.571,62,490,6063,1646,271,999,847,680,8,125,24,869,105,81,62,13,1,0,0,1,0,1
90,6,209,216,58,12,37,24,19,3,56,12,201,36,22,19,2,1,0,0,1,0,1
1220,10,475,1810,471,108,343,292,267,6,123,27,226,93,76,72,4,1,0,0,1,0,1
1861.46,9,565,7287,2083,305,1234,1135,791,5,148,24,292,104,90,77,14,1,0,1,0,1,0
415,10,405,950,231,29,138,99,64,3,102,18,161,85,49,20,6,0,1,0,1,0,1
550,7,442,1416,398,47,203,210,136,7,131,18,233,77,68,33,6,1,0,1,0,1,0
1300,35,232,4405,1213,194,705,702,625,3,55,9,623,23,34,45,12,1,0,0,1,0,1
365,8,680,1928,587,35,201,262,91,6,223,31,429,96,119,34,3,0,1,1,0,1,0
800,48,327,4273,1123,212,700,577,334,6,84,22,483,62,53,38,10,1,0,1,0,0,1
600,55,472,1924,489,67,251,242,240,3,116,16,518,62,60,74,6,0,1,0,1,0,1
416.667,206,313,3742,968,35,321,409,170,7,78,6,106,41,32,12,12,0,1,0,1,0,1
277.5,257,537,2744,730,97,351,302,174,20,147,23,92,88,58,47,10,1,0,0,1,0,1
155,377,472,793,187,14,80,102,50,26,118,12,228,54,63,30,4,0,1,1,0,1,0
286.667,6,205,854,219,12,99,105,71,1,43,2,131,17,24,20,7,1,0,0,1,0,1
940,10,593,2765,686,133,384,369,321,6,152,23,315,75,69,53,6,0,1,1,0,1,0
1200,147,591,4478,1307,113,563,634,319,4,168,19,67,72,80,39,9,0,1,1,0,1,0
425,290,441,1546,397,17,149,226,191,11,113,5,160,52,76,76,5,0,1,1,0,1,0
625,329,550,2308,633,32,182,349,308,16,152,6,262,37,92,81,5,0,1,0,1,0,1
110,4,278,278,86,4,38,33,45,2,86,4,102,38,33,45,1,0,1,0,1,0,1
400,53,327,3949,939,78,380,438,466,7,68,13,659,29,42,45,18,1,0,1,0,1,0
80,9,399,670,167,4,48,89,54,3,102,3,211,34,56,34,5,0,1,1,0,1,0
70,7,214,226,59,2,32,32,27,3,53,2,109,29,30,23,2,1,0,0,1,0,1
240,3,288,1644,408,16,120,198,113,3,76,7,203,37,34,15,4,0,1,0,1,0,1
185,144,520,927,227,22,80,106,52,11,120,17,70,44,53,21,4,0,1,1,0,1,0
195,444,453,948,218,6,72,96,91,16,101,3,249,43,46,61,3,0,1,0,1,0,1
750,83,474,2331,604,61,327,246,166,13,129,10,732,56,50,40,10,0,1,0,1,0,1
75,36,216,216,54,2,25,27,33,1,54,2,317,25,27,33,1,0,1,0,1,0,1
240,45,196,3231,825,36,290,376,238,8,43,7,80,27,29,30,13,1,0,0,1,0,1
640,440,591,2020,541,52,226,310,91,25,157,16,290,78,90,26,4,1,0,0,1,0,1
1350,482,627,3210,927,133,472,529,313,13,177,25,240,81,98,70,6,1,0,1,0,1,0
725,258,503,3423,970,20,303,408,414,8,136,5,65,48,62,83,10,0,1,0,1,0,1
765,9,587,2695,747,17,198,442,317,3,163,4,434,51,92,70,6,1,0,1,0,1,0
450,176,348,2288,614,43,273,295,269,6,90,11,60,45,50,43,10,1,0,1,0,1,0
450,90,271,4933,1358,48,435,630,403,3,77,5,62,29,35,33,12,0,1,1,0,1,0
775,374,599,2482,715,27,326,330,158,18,183,10,231,74,80,32,5,1,0,1,0,1,0
175,15,143,639,151,16,97,80,61,1,39,5,138,30,18,15,9,0,1,0,1,0,1
530,442,562,3181,841,61,342,450,373,17,169,17,351,73,88,53,8,1,0,1,0,1,0
70,150,312,312,68,2,22,32,24,15,68,2,86,22,32,24,1,1,0,1,0,1,0
875,371,496,3358,882,36,280,365,165,29,119,8,155,33,57,21,7,0,1,0,1,0,1
87.5,415,445,618,129,1,31,72,48,16,99,1,278,24,46,29,4,0,1,1,0,1,0
300,2,415,711,184,45,119,156,99,7,115,27,274,71,97,68,3,0,1,0,1,0,1
700,151,239,1941,510,4,103,309,207,6,60,0,121,11,30,22,6,1,0,1,0,1,0
1300,96,610,2728,753,69,366,399,286,13,186,19,1182,98,107,74,6,1,0,0,1,0,1
140,1,299,580,160,8,33,71,44,2,75,6,212,23,38,26,3,1,0,0,1,0,1
900,0,172,4086,1150,57,363,579,406,0,42,3,65,14,17,15,10,0,1,0,1,0,1
708.333,3,324,1931,491,13,108,291,180,3,73,4,222,18,32,22,7,1,0,0,1,0,1
525,284,360,2268,566,41,257,279,246,3,81,5,170,44,37,37,7,1,0,0,1,0,1
235,45,213,4061,1145,83,491,488,244,4,61,4,178,22,17,3,17,0,1,1,0,1,0
400,3,205,5134,1323,56,445,643,459,2,52,8,155,27,31,17,12,1,0,1,0,1,0
300,46,204,1309,308,27,132,126,66,5,49,6,419,25,23,12,7,0,1,1,0,1,0
1310,104,550,2816,815,117,474,405,319,10,147,29,1218,91,85,71,6,0,1,1,0,1,0
1183.333,80,484,3006,844,116,458,436,377,7,127,20,1231,65,66,67,7,1,0,0,1,0,1
250,147,263,888,220,9,82,83,86,4,70,1,81,23,26,30,4,1,0,0,1,0,1
100,7,438,440,103,2,32,67,71,9,103,2,276,32,65,71,2,0,1,1,0,0,1
230,199,236,1115,270,1,64,116,57,13,56,0,125,15,27,11,4,0,1,1,0,1,0
1150,99,510,2872,821,63,340,307,174,18,147,10,810,52,56,53,7,1,0,0,1,0,1
97.5,7,382,382,101,16,55,50,22,6,101,16,200,55,50,22,1,0,1,1,0,1,0
75,205,279,279,64,0,26,31,30,16,64,0,107,26,31,30,1,0,1,0,1,0,1
